n_magnitude,connections_per_node,bmssp_to_dijkstra_ratio
1e1,8,0.6694130019924
1e2,8,0.5288639262724771
1e3,8,0.4607580342803859
1e4,8,0.4178243501095243
1e5,8,0.38729718635052657
1e6,8,0.36401788185446704
1e7,8,0.345430602258584
1e8,8,0.3300984976889915
1e9,8,0.31714048804259043
1e10,8,0.30598077718536487
1e20,8,0.24173745461250137
1e30,8,0.21060705573973018
1e40,8,0.19098257576857416
1e50,8,0.1770289697518971
1e60,8,0.1663882746042998
1e70,8,0.15789224862395213
1e80,8,0.15088412470325116
1e90,8,0.14496117153296562
1e100,8,0.13986019950061088
1e110,8,0.1354006129698951
1e120,8,0.13145361074706488
1e130,8,0.12792440439479
1e140,8,0.12474139923592566
1e150,8,0.12184932152616308
1e160,8,0.11920469181991396
1e170,8,0.11677275057972426
1e180,8,0.11452531412715619
1e190,8,0.1124392445596178
1e200,8,0.11049533549093628
1e210,8,0.1086774859280491
1e220,8,0.10697207789784134
1e230,8,0.10536750078981195
1e240,8,0.10385378308378886
1e250,8,0.1024223038443771
1e260,8,0.10106556426740104
1e270,8,0.09977700499350231
1e280,8,0.098550858696024
1e290,8,0.0973820301383946
